state,contributions_18_state_house/assembly/senate_out_of_state,contributions_18_state_house/assembly/senate_total,pct_state_house/assembly/senate_out_of_state
AK,126112.84000000011,2977311.959999997,0.04235795297715468
AL,1469391.0199999986,22408378.810000036,0.06557328544197331
AR,433905.87000000017,4026415.539999996,0.10776480114618289
CA,13358453.590000002,91647673.16999994,0.14575878609837717
CO,701497.32,5005130.029999985,0.14015566344836838
CT,240681.08,5313754.689999993,0.045293976489531984
FL,3518092.6800000165,38830200.589999855,0.09060197028459464
GA,3222579.45,19665337.549999993,0.16387104680031295
HI,416525.76,3860347.5000000014,0.10789851431768768
IA,1062313.0100000014,7016061.339999986,0.15141159099387286
ID,246637.56,1132356.4600000004,0.21780911639785222
IL,11002351.390000008,61038270.0400001,0.18025332930946203
IN,1199392.490000001,7430476.680000002,0.1614152821754096
KS,385881.06,1232220.4599999995,0.3131591079083366
KY,1071838.1700000009,9011336.680000013,0.11894330531217033
LA,31020.0,356454.99999999994,0.08702360746798335
MA,1160391.9800000014,15835220.509999953,0.07327918037309383
MD,5631844.02,33990049.97999997,0.16569096024612567
ME,86759.67,3045520.5700000003,0.02848763224738291
MI,1725553.0399999998,25414842.319999903,0.06789548478300401
MN,45425.0,854241.1000000001,0.05317585398314363
NC,2206696.7699999977,21585343.88000002,0.10223125386687125
NE,310156.3,1680439.8100000008,0.18456852673586677
NM,844444.9899999999,3487759.649999999,0.24211673817603804
NY,3042219.060000002,34666386.020000055,0.08775702948224416
OH,2038163.5499999835,22202040.399999887,0.0918007315219548
OK,888164.1099999993,11482477.48000002,0.07734951899944835
OR,1678650.6300000001,10165999.659999993,0.16512401004742916
PA,2742482.710000002,25207738.629999995,0.10879526919309392
SC,685604.6000000002,4926996.7899999935,0.13915263784858303
TN,1445747.2599999974,14805529.159999982,0.09764914474694798
TX,4304523.609999977,80170054.95000045,0.05369241186980068
UT,464886.0699999999,2706329.299999996,0.17177734801156702
VT,90466.76000000001,613584.5199999998,0.14743976917800997
WA,1339679.3800000008,10467485.479999948,0.1279848328960861
WI,735804.8400000109,9269334.79000003,0.07938054419976436
WY,93683.21,560297.1600000003,0.16720272149871324
